group,id,missingKeys,uniqueKeys,emptyKeys
split-path,"_v2_batchpayments.json","","",""
split-path,"_v2_batchpayments__batchPaymentId_.json","","","consumes"
split-path,"_v2_batchpayments__batchPaymentId__entries.json","","","consumes"
split-path,"_v2_cardproxies.json","","",""
split-path,"_v2_cardproxies__cardProxy_.json","","","consumes;consumes"
split-path,"_v2_cardproxies__cardProxy__pricing.json","","","consumes"
split-path,"_v2_customers.json","","","consumes"
split-path,"_v2_customers__customerReference_.json","","","consumes"
split-path,"_v2_customers__customerReference__account.json","","","consumes"
split-path,"_v2_customers__customerReference__customerReference.json","","",""
split-path,"_v2_customers__customerReference__paymentOption.json","","","consumes"
split-path,"_v2_customers__customerReference__profile.json","","","consumes"
split-path,"_v2_customers__customerReference__status.json","","","consumes"
split-path,"_v2_diagnostics_ping.json","parameters","","consumes"
split-path,"_v2_payments.json","","","consumes"
split-path,"_v2_payments_uniqueId__merchantUniqueId_.json","","","consumes"
split-path,"_v2_payments_uniqueId__paymentReference__refundrequests__refundRequestUniqueId_.json","","","summary;consumes"
split-path,"_v2_payments__paymentReference_.json","","","consumes"
split-path,"_v2_payments__paymentReference__refundrequests.json","","","consumes"
split-path,"_v2_preauths.json","summary","","consumes"
split-path,"_v2_preauths__preauthReference_.json","summary","","consumes"
split-path,"_v2_preauths__preauthReference__captures.json","summary","",""
split-path,"_v2_preauths__preauthReference__voids.json","summary","","consumes"
split-path,"_v2_proxies__proxy__pricing.json","","","consumes"
split-path,"_v2_requestpays.json","","",""
split-path,"_v2_requestpays__requestPayId_.json","","","consumes"
split-path,"_v2_requestpays__requestPayId__entries.json","","","consumes"
split-def,"AccountProxy.json","","",""
split-def,"AdditionalReference.json","description;required","",""
split-def,"AmbiguousResult.json","required","","description;properties"
split-def,"ApiBatchPayEntry.json","required","",""
split-def,"ApiBatchPaySummary.json","required","",""
split-def,"ApiRequestPayEntry.json","required","",""
split-def,"ApiRequestPaySummary.json","required","",""
split-def,"BankAccount.json","","",""
split-def,"BatchPaymentDataRecord.json","","",""
split-def,"BatchPaymentRequest.json","","",""
split-def,"BatchPaymentResponse.json","required","",""
split-def,"BPayDetail.json","description;required","",""
split-def,"CaptureCardRequest.json","description","",""
split-def,"CaptureCardResponse.json","required","",""
split-def,"CardProxyRequest.json","","",""
split-def,"CardProxyResponse.json","required","",""
split-def,"CreditCard.json","description;required","",""
split-def,"CreditCardProxy.json","","",""
split-def,"CustomerAccountRequest.json","required","",""
split-def,"CustomerAccountResponse.json","description;required","",""
split-def,"CustomerAddress.json","","",""
split-def,"CustomerPaymentOption.json","description","",""
split-def,"CustomerProfile.json","description;required","",""
split-def,"CustomerProfileRequest.json","description","",""
split-def,"CustomerResponse.json","required","",""
split-def,"CustomerStatusRequest.json","required","",""
split-def,"ICustomerProfie.json","description;required","",""
split-def,"InternalServerErrorResult.json","required","",""
split-def,"ModelError.json","required","",""
split-def,"ModelState.json","required","",""
split-def,"NewCustomer.json","","",""
split-def,"NewCustomerResponse.json","","",""
split-def,"PayIdDetail.json","description;required","",""
split-def,"PaymentCard.json","description","",""
split-def,"PaymentRequest.json","","",""
split-def,"PaymentResponse.json","required","",""
split-def,"PingResponse.json","required","",""
split-def,"PreauthRequest.json","description","",""
split-def,"PreauthResponse.json","required","",""
split-def,"PreconditionFailedResponse.json","description;required","",""
split-def,"Pricing.json","required","",""
split-def,"PricingResponse.json","required","",""
split-def,"RefundRequest.json","","",""
split-def,"RefundResponse.json","required","",""
split-def,"RequestPayRequest.json","","",""
split-def,"RequestPayRequestRecord.json","","",""
split-def,"RequestPayResponse.json","required","",""
split-def,"SettlementPayment.json","description;required","",""
split-def,"SubPayment.json","description;required","",""
split-def,"ThreeDSecureBrowserData.json","description;required","",""
split-def,"ThreeDSecureData.json","description;required","",""
split-def,"TokenResponse.json","required","",""
split-def,"ValueProviderResult.json","required","",""
split-def,"VoidCardResponse.json","required","",""